id,title,include_status,screening_rationale,decision,reason
P011,Current role of artificial intelligence and machine learning: is their application feasible in pediatric upper airway obstructive disorders?,EXCLUDE,EC-REV: Systematic literature review; EC-PED: Focuses exclusively on pediatric populations (≤18 years).,Exclusion,EC-REV: Systematic literature review; EC-PED: Focuses exclusively on pediatric populations (≤18 years).
P012,A Novel Snore Recording Application Demonstrating High Correlation With Two-channel Portable Monitoring for Diagnosing Sleep Apnea Syndrome.,INCLUDE,Satisfies Title and Abstract inclusion criteria (IC1-IC4),Exclusion,EC-A: Toàn văn tài liệu không có sẵn trong thư mục tài liệu thực tế của Notebook để thực hiện đánh giá chi tiết (Full-text is unavailable in the actual Notebook sources folder for full-text review).
P013,"Definition of severity, management, and follow-up of isolated snoring in adults: An international consensus.",EXCLUDE,EC-N: Delphi consensus and guidelines without primary empirical smartphone algorithm experiments.,Exclusion,EC-N: Delphi consensus and guidelines without primary empirical smartphone algorithm experiments.
P014,Pediatric precision sleep network: a study protocol for identifying sleep signatures of mental health risk in peri-adolescents.,EXCLUDE,EC-PED: Pediatric population (ages 10-13); EC-N: Study protocol without experimental screening results.,Exclusion,EC-PED: Pediatric population (ages 10-13); EC-N: Study protocol without experimental screening results.
P017,SleepBuds: Posture-Aware Modeling of Respiration-Driven Bilateral Earable Motion for Sleep Monitoring,EXCLUDE,EC-EAR-BED: Uses specialized earable IMU devices (OmniBuds/SleepBuds) rather than built-in smartphone sensors.,Exclusion,EC-EAR-BED: Uses specialized earable IMU devices (OmniBuds/SleepBuds) rather than built-in smartphone sensors.
P025,Contactless Sleep Apnea Detection with Bodyseismography,EXCLUDE,EC-BED: Utilizes dedicated under-bed seismic hardware sensors rather than smartphone built-in sensors.,Exclusion,EC-BED: Utilizes dedicated under-bed seismic hardware sensors rather than smartphone built-in sensors.
P026,3DGS on Your Phone: Towards Fully Immersive Mobile Volumetric Video Streaming,EXCLUDE,EC-N: Completely outside the clinical and domain scope of sleep apnea screening.,Exclusion,EC-N: Completely outside the clinical and domain scope of sleep apnea screening.
P050,μMobileScan: A Smartphone Whole Slide Imaging App for Red Blood Cell Counting with Real-time Guidance,EXCLUDE,EC-N: Completely outside the clinical and domain scope of sleep apnea screening.,Exclusion,EC-N: Completely outside the clinical and domain scope of sleep apnea screening.
P053,SSA-HAN: Sleep-Stage-Aware Hierarchical Attention Network for Patient-Level Sleep Apnea Severity Assessment,EXCLUDE,EC-EXT: Relies on external or specialized physiological sensors (PPG-based dataset) rather than smartphone built-in microphone or accelerometer.,Exclusion,EC-EXT: Relies on external or specialized physiological sensors (PPG-based dataset) rather than smartphone built-in microphone or accelerometer.
P072,Towards 4D Gesture Reconstruction Through Leaky Acoustic Waves,EXCLUDE,EC-N: Does not address obstructive sleep apnea screening or smartphone sensor-based health monitoring.,Exclusion,EC-N: Does not address obstructive sleep apnea screening or smartphone sensor-based health monitoring.
P080,Mobile Phone Color Accuracy for Practical Cultural Heritage Imaging,EXCLUDE,EC-N: Does not evaluate obstructive sleep apnea screening.,Exclusion,EC-N: Does not evaluate obstructive sleep apnea screening.
P091,"Vibrational, Acoustic and Inertial Sensing on Smart Eyewear for Physiological Monitoring",EXCLUDE,EC-EAR-BED: Evaluates specialized wearable smart eyewear (nose pads) instead of standard smartphone placement.,Exclusion,EC-EAR-BED: Evaluates specialized wearable smart eyewear (nose pads) instead of standard smartphone placement.
P1004,The Relationship between Childhood Trauma and Sleep Procrastination in College Students: The Mediating Role of Mobile Phone Addiction,EXCLUDE,EC-SUR: Focuses on questionnaire-based psychological assessment of mobile phone addiction and sleep procrastination rather than algorithmic sensor screening.,Exclusion,EC-SUR: Focuses on questionnaire-based psychological assessment of mobile phone addiction and sleep procrastination rather than algorithmic sensor screening.
P1029,Digital Acoustic Uroflowmetry for Noninvasive Urine Flow Rate Monitoring in Men Using Smartphone Acoustic Pattern Recognition: Protocol for the Development of a System and Mobile App,EXCLUDE,EC-N: Focuses on digital acoustic uroflowmetry for urine flow monitoring rather than obstructive sleep apnea.,Exclusion,EC-N: Focuses on digital acoustic uroflowmetry for urine flow monitoring rather than obstructive sleep apnea.
P1033,The comorbidity of ischemic heart disease requiring (IHD) revascularization significantly correlates with obstructive sleep apnea (OSA),EXCLUDE,EC-NO-ABS: Missing abstract data entirely.,Exclusion,EC-NO-ABS: Missing abstract data entirely.
P1036,OSA Pathogenesis—The Hypotonic Phenotype,EXCLUDE,EC-REV: Review or perspective piece discussing OSA pathogenesis without original software/hardware screening experiments.,Exclusion,EC-REV: Review or perspective piece discussing OSA pathogenesis without original software/hardware screening experiments.
P1043,CAAM-Net: A Chrono–Acoustic Attention MobileNet for Snore-Based Sleep Apnea Screening,EXCLUDE,EC-EPOCH: Giới hạn phân loại trong các khung/đoạn âm thanh ngắn độc lập (phát hiện tiếng ngáy) mà không tính toán chỉ số AHI theo giờ cho cả đêm,Exclusion,EC-EPOCH: Giới hạn phân loại trong các khung/đoạn âm thanh ngắn độc lập (phát hiện tiếng ngáy) mà không tính toán chỉ số AHI theo giờ cho cả đêm
P1051,"OSA and Orofacial Myofunctional Disorders, Diagnosis and Therapy, Concept and Limitations",EXCLUDE,"EC-CLINIC: Thử nghiệm lâm sàng về thuốc, can thiệp phẫu thuật, khí cụ nha khoa, độ tuân thủ CPAP, hoặc nghiên cứu bệnh lý nền",Exclusion,"EC-CLINIC: Thử nghiệm lâm sàng về thuốc, can thiệp phẫu thuật, khí cụ nha khoa, độ tuân thủ CPAP, hoặc nghiên cứu bệnh lý nền"
P1052,Anatomy of Orofacial Complex and Relationship with OSA,EXCLUDE,"EC-N: Không có thực nghiệm hoặc phi thực chứng (bài nêu định hướng, bài hướng dẫn)",Exclusion,"EC-N: Không có thực nghiệm hoặc phi thực chứng (bài nêu định hướng, bài hướng dẫn)"
P1058,THE IMPACT OF MOBILE PHONE USE ON SLEEP PATTERNS AND EDUCATIONAL EFFECTIVENESS,EXCLUDE,EC-SUR: Phương pháp sàng lọc chỉ dựa trên bảng câu hỏi tự báo cáo lâm sàng hoặc khảo sát hành vi,Exclusion,EC-SUR: Phương pháp sàng lọc chỉ dựa trên bảng câu hỏi tự báo cáo lâm sàng hoặc khảo sát hành vi
P1063,The effect of zolpidem on sleep efficiency and obstructive sleep apnea severity in OSA patients: A systematic review and meta‑analysis,EXCLUDE,"EC-CLINIC: Thử nghiệm lâm sàng về thuốc, can thiệp phẫu thuật, khí cụ nha khoa, độ tuân thủ CPAP...",Exclusion,"EC-CLINIC: Thử nghiệm lâm sàng về thuốc, can thiệp phẫu thuật, khí cụ nha khoa, độ tuân thủ CPAP..."
P1065,Epidemiology of OSA and Orofacial Myofunctional Disorders,EXCLUDE,"EC-REV: Bài báo dạng khảo sát tài liệu, tổng quan hệ thống, tổng quan phạm vi hoặc phân tích gộp thiếu các thực nghiệm phần mềm gốc",Exclusion,"EC-REV: Bài báo dạng khảo sát tài liệu, tổng quan hệ thống, tổng quan phạm vi hoặc phân tích gộp thiếu các thực nghiệm phần mềm gốc"
P1073,Benefits of Early Body Weight Reduction in Participants with Obesity and Moderate-to-severe Obstructive Sleep Apnea: A Post Hoc Analysis of SURMOUNT-OSA,EXCLUDE,EC-NO-ABS: Thiếu dữ liệu tóm tắt (Abstract) và tiêu đề không nêu rõ việc cảm biến ngưng thở bằng smartphone,Exclusion,EC-NO-ABS: Thiếu dữ liệu tóm tắt (Abstract) và tiêu đề không nêu rõ việc cảm biến ngưng thở bằng smartphone
P1080,Between apneas: what continuous blood pressure monitoring reveals about obstructive sleep apnea,EXCLUDE,"EC-N: Không có thực nghiệm hoặc phi thực chứng (bài nêu định hướng, bài hướng dẫn)",Exclusion,"EC-N: Không có thực nghiệm hoặc phi thực chứng (bài nêu định hướng, bài hướng dẫn)"
P1089,Using personal mobile technology to identify obstructive sleep apnea in children with Down syndrome (UPLOAD),EXCLUDE,EC-PED: Pediatric population (children aged 2-18 years with Down syndrome),Exclusion,EC-PED: Pediatric population (children aged 2-18 years with Down syndrome)
P1099,Participation in at-home obstructive sleep apnoea monitoring: Findings from six months of daily mobile-based check-ins,EXCLUDE,EC-NO-ABS: Missing abstract text,Exclusion,EC-NO-ABS: Missing abstract text
P1103,A Sleep Monitoring System for Screening Sleep Apnea,EXCLUDE,EC-BED: Uses specialized mattress piezoelectric sensors,Exclusion,EC-BED: Uses specialized mattress piezoelectric sensors
P1105,"Change in Peripheral Apnea-Hypopnea Index (pAHI), and Body Weight in Participants with moderate-to-severe OSA with Obesity from SURMOUNT-OSA",EXCLUDE,EC-NO-ABS: Missing abstract text,Exclusion,EC-NO-ABS: Missing abstract text
